"Add Recipient","Añadir destinatario"
"Allow for Guests","Permitir visitantes"
"An invalid email address for recipient was entered.","Un correo electrónico inválido como destinario fue introducido."
"At least one recipient must be specified.","Al menos un destinatario debe ser especificado."
"Back","Atrás"
"Catalog Product Email to a Friend","Enviar correo electrónico a un amigo con el catálogo de artículos"
"Email Address","Dirección de correo electrónico"
"Email Address:","Dirección de correo electrónico:"
"Email Templates","Plantillas de correo electrónico"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email:","Email:"
"Enabled","Habilitado"
"Invalid Sender Information","Información del remitente inválida"
"Invalid sender email.","Correo electrónico del remitente inválido"
"Limit Sending By","Límite de envío por"
"Max Products Sent in 1 Hour","Máximos artículos enviados en 1 hora"
"Max Recipients","Máximos destinatarios."
"Maximum %d email addresses allowed.","Máximo %d direcciones de correo electrónico permitidas"
"Message:","Mensaje:"
"Name","Nombre"
"Name:","Nombre:"
"No more than %d emails can be sent at a time.","No se puede enviar más que %d correos electrónicos al mismo tiempo."
"Please define a correct Cookie instance.","Por favor, defina una correcta petición de cookie."
"Please define a correct Product instance.","Por favor, defina una correcta petición de artículo."
"Please define the correct Sender information.","Por favor, defina la información correcta del remitente."
"Recipient:","Destinatario:"
"Remove Email","Eliminar correo electrónico"
"Select Email Template","Elegir plantilla de correo electrónico"
"Send Email","Envíar correo electrónico"
"Send product to a friend","Envíar el artículo a un amigo"
"Sender:","Remitente:"
"Some emails were not sent.","Algunos correos electrónicos no fueron enviados."
"The link to a friend was sent.","El enlace fue envíado a un amigo."
"The message cannot be empty.","El mensaje no puede estar vacío."
"The messages cannot be sent more than %d times in an hour","Los mensajes no pueden ser enviados más %d de veces en una hora."
"The sender name cannot be empty.","El nombre del remitente no puede estar vacío."
"There were some problems with the data.","Ha habido algunos problemas con los datos."
"You have exceeded limit of %d sends in an hour","Ha excedido el límite de %d enviados en una hora."
