"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" no está disponible en la cantidad solicitada. %s de los artículos han sido quitados del pedido."
"%s is available for purchase in increments of %s only.","%s sólo se puede comprar en incrementos de %s."
"%s is not a correct comparsion method.","%s no es un método de comparación correcto."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Tenga en cuenta</strong> que esta configuración es aplicable a los artículos de línea del carro de la compra, no al carrito en su totalidad."
"Add Minimum Qty","Añadir cantidad mínima"
"Allow Qty Below 0","Permitir cantidad menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidad menor que 0 y notificar al cliente"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a existencias"
"Backorders","Pedidos pendientes"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Cannot specify product identifier for the order item.","No se puede especificar el identificador del producto para el artículo del pedido."
"Catalog Inventory","Inventario del catálogo"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un pedido"
"Display Out of Stock Products","Visualizar los artículos agotados"
"Display products availability in stock in the frontend","Mostrar la disponibilidad de artículos en existencias en la parte delantera"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"In Stock","En existencia"
"Index Product Stock Status","Estado de existencias de artículo de índice"
"Inventory","Inventario"
"Inventory API","API del inventario"
"Inventory Section","Sección del inventario"
"Manage Stock","Gestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Minimum Qty","Cantidad mínima"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Multi update product stock data","Multiactualización de los datos de objetos en existencias"
"No Backorders","No hay pedidos pendientes"
"Not all products are available in the requested quantity","No todos los artículos están disponibles en la cantidad requirida"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Only %s left","Sólo queda %s"
"Only X left Threshold","Quedan X en almacén desde"
"Out of Stock","Fuera de existencia"
"Product Name","Nombre del artículo"
"Product Stock Options","Opciones de existencias de artículo"
"Products will still be shown by direct product URLs.","Los artículos se seguirán mostrando por URL de artículo directa."
"Qty","Cant."
"Qty Increments","Incrementos de cantidad"
"Qty for Item's Status to Become Out of Stock","Cantidad de elementos que pasará a ser fuera de existencia"
"Retrieve stock data","Recuperar datos de existencias"
"Retrieve stock data by product ids","Recuperar datos de existencias por identificadores de artículo"
"Rule price","Regla de precio"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer las existencias cuando la orden de venta se cancele"
"Some of the products are currently out of stock","Algunos de los artículos se encuentran fuera de existencia."
"Some of the products are currently out of stock.","Algunos de los artículos se encuentran fuera de existencia."
"Some of the products are not available","Algunos de los artículos se encuentran fuera de existencia"
"Some of the products cannot be ordered in requested quantity.","No se puede realizar el pedido de algunos artículos en la cantidad solicitada."
"Some of the products cannot be ordered in the requested quantity.","No se puede realizar el pedido de algunos artículos en la cantidad solicitada."
"Stock Options","Opciones de existencias"
"Stock Status","Estado de existencias"
"The maximum quantity allowed for purchase is %s.","La cantidad máxima permitida para comprar es %s."
"The minimum quantity allowed for purchase is %s.","La cantidad mínima permitida para comprar es %s."
"The requested quantity for ""%s"" is not available.","La cantidad solicitada de ""%s"" no está disponible."
"The stock item for Product in option is not valid.","Es estado de existencia para la opción selectada no es válido."
"The stock item for Product is not valid.","Es estado de existencia para el artículo no es válido."
"This product is available for purchase in increments of %s only.","Este artículo esta disponible para la compra en incrementos de %s únicamente."
"This product is currently out of stock.","Este artículo se encuentra fuera de existencia"
"This product is not available in the requested quantity. %s of the items will be backordered.","Este artículo no está disponible en la cantidad solicitada. %s de los artículos serán proporcionados al cliente más tarde."
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Undefined product type.","Tipo de artículo no definido."
"Update","Actualización"
"Update product stock data","Actualizar datos de artículos en existencias"
"Update the Product","Actualizar el artículo"
