"Add","Añadir"
"Add New Row","Agregar nueva fila"
"Add links and samples to downloadable product","Añadir enlaces y muestras al artículo de descarga"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Se recomiendan los caracteres alfanuméricos, guion y guion bajo para los nombres de fichero. Los caracteres incorrectos se reemplazarán con '_'."
"An error occurred while getting the requested content.","Se ha producido un error al recibir el contenido solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Se ha producido un error al recibir el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"An error occurred while saving the file(s).","Se ha producido un error al guardar el archivo(s)."
"Availability:","Disponibilidad:"
"Back","Volver atrás"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","No se puede conectar con el servidor remoto, error: %s."
"Catalog Product View (Downloadable)","Vista de los artículos en catálogo (descargable)"
"Category API","Categoría API"
"Customer My Account Downloadable Items","Cliente Mi cuenta Artículos descargables"
"Date","Fecha"
"Default Link Title","Título de enlace (predeterminado)"
"Default Maximum Number of Downloads","Número máximo de descargas (predeterminado)"
"Default Sample Title","Título de muestra (predeterminado)"
"Delete","Eliminar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Deshabilitar la facturación para visitantes si el carrito contiene artículos descargables"
"Downloadable Information","Información descargable"
"Downloadable Product","Artículo descargable"
"Downloadable Product Options","Opciones de artículo descargable"
"Downloadable Product Section","Sección de artículos descargables"
"Downloadable product Section","Sección de artículos descargables"
"Edit","Editar"
"Edit item parameters","Editar parámetros del artículo"
"Excl. Tax","Impuestos no incluidos"
"File","Archivo"
"From:","Desde:"
"Gift Message","Mensaje de regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">mis artículos descargables</a>"
"Guest checkout will only work with shareable.","La facturación con visitantes sólo funcionará si se puede compartir."
"In stock","En existencias"
"Incl. Tax","Impuestos incluidos"
"Invalid download URL host.","Servidor de URL de descarga no válido."
"Invalid download URL scheme.","Esquema de URL de descarga no válido."
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Invoiced","Facturado"
"Links can be purchased separately","Los enlaces se puede comprar por separado."
"List","Lista"
"Max. Downloads","Máximas descargas"
"Message:","Mensaje:"
"Move","Mover"
"Move to Wishlist","Mover a favoritos"
"Move to wishlist","Mover a favoritos"
"My Downloadable Products","Mis artículos descargables"
"Open Links in New Window","Abrir enlaces en una nueva ventana"
"Order #","Pedido nº "
"Order Item Status to Enable Downloads","Estado de artículo pedido para habilitar descargas"
"Order id cannot be null","El ID del pedido no puede ser nulo"
"Order item id cannot be null","El ID del artículo del pedido no puede ser nulo"
"Ordered","Pedido"
"Out of stock","No está disponible"
"Pending","Pendiente"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Por favor, acceda a su cuenta para descargar su artículo o compra <a href=""%s"">%s</a>."
"Please log in to download your product.","Por favor, acceda a su cuenta para descargar su artículo."
"Please set resource file and link type.","Por favor, asigne el archivo de recurso y el tipo de enlace."
"Please specify product link(s).","Por favor, especifique el(los) enlace(s) de artículo."
"Price","Precio"
"Product downloadable links","Enlaces de descarga de artículos"
"Qty","Cantidad"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas restantes"
"Remove","Borrar"
"Remove Item","Eliminar artículo"
"Remove links and samples from downloadable product","Eliminar los enlaces y las muestras del artículo de descarga"
"Requested link does not exist.","El enlace solicitado no existe."
"Retrieve links and samples list from downloadable product","Recupere la lista de enlaces y muestras del artículo de descarga"
"SKU","SKU (Número de Referencia)"
"Sample","Muestra"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Shareable","Se puede compartir"
"Shipped","Enviado"
"Sorry, there was an error getting requested content. Please contact the store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"Sort Order","Ordenación"
"Start Download","Iniciar la descarga"
"Status","Estado"
"Subtotal","Subtotal"
"The file does not exist.","El fichero no existe"
"The link has expired.","El enlace ha caducado."
"The link is not available.","El enlace no está disponible."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Hay archivos que se han seleccionado pero aún no se han subido. Por favor, súbalos o elimínelos primero."
"Title","Título"
"To:","A:"
"U","U"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Use Default Value","Usar valor por defecto"
"View Order","Ver pedido"
"What's this?","¿Qué es esto?"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún artículo descargable."
"attachment","documento adjunto"
"download","descarga"
"inline","en línea"
"sample","Muestra"
