"Active","Activo"
"Add Attribute Mapping","Agregar asignación de atributo"
"Add New Attribute","Añadir nuevo atributo"
"Add to Google Base","Agregar a Google Merchant Center"
"Are you sure?","¿Está seguro?"
"Attribute","Atributo"
"Attribute Set","Conjunto de atributos"
"Attribute Set and Item Type","Conjunto de atributos y tipo de artículo"
"Attributes","Atributos"
"Attributes Mapping","Asignación de atributos"
"Attributes Set","Conjunto de atributos"
"AuthSub","AuthSub"
"Available Products","Productos disponibles"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","La divisa base debe definirse como %s para %s en la configuración del sistema. De lo contrario, los precios del artículo no serán correctos en Google Merchant Center."
"Cannot update Google Base Item for Store '%s'","No se puede actualizar el artículo Google Merchant Center para la tienda '%s'"
"Captcha confirmation error: %s","Error de confirmación de captcha: %s"
"Captcha has been confirmed.","Se confirmó captcha."
"Catalog","Catálogo"
"Clicks","Clicks"
"ClientLogin","Inicio de sesión del cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Se volverá a cargar la asignación actual. ¿Desea continuar?"
"Custom attribute, no mapping","Atributo personalizado, sin asignación"
"Delete","Eliminar"
"Delete Mapping","Eliminar asignación"
"Edit Item Type","Editar tipo de artículo"
"Edit Item Type ""%s""","Editar tipo de artículo ""%s"""
"Error: %s","Error: %s"
"Expires","Vencimiento"
"Google","Google"
"Google Base","Google Merchant Center (GMC)"
"Google Base Attribute","Atributo de Google Merchant Center"
"Google Base ID","ID de Google Merchant Center"
"Google Base Item Type","Tipo de artículo de Google Merchant Center"
"Google Base Item type","Tipo de artículo de Google Merchant Center"
"Google Base Items","Elementos de Google Merchant Center"
"Google base","Google Merchant Center (GMC)"
"Hide","Ocultar"
"Hosted","Alojado"
"Hosted or Google","Alojado o de Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de producto no válido para artículo de Google Merchant Center"
"Item Type was deleted","Se eliminó el tipo de artículo"
"Item Types","Tipos de artículo"
"Item model is not specified to delete Google Base entry.","En el modelo de artículo no se especifica la eliminación de la entrada de Google Merchant Center."
"Items","Artículos."
"Manage Attribute Mapping","Administrar asignación de atributos"
"Manage Attributes","Administrar atributos"
"Manage Items","Gestionar artículos"
"New Item Type","Nuevo tipo de artículo"
"New ItemType","Nuevo tipo de artículo"
"No","No"
"No items were deleted from Google Base","No se eliminaron artículos de Google Merchant Center"
"No items were published","No se publicaron artículos"
"No items were saved as inactive items","No se guardaron artículos como artículos inactivos"
"No products were added to Google Base","No se agregaron artículos a Google Merchant Center"
"Object model is not specified to save Google Base entry.","En el modelo de objeto no se especifica guardar la entrada de Google Merchant Center."
"Please, select Attribute Set and Google Item Type to load attributes","Seleccione conjunto de atributos y tipo de artículo de Google para cargar los atributos."
"Product Name","Nombre de artículo"
"Publish","Publique"
"Published","Publicado"
"Remove","Eliminar"
"Save Mapping","Guardar asignación"
"Session expired during export. Please revise exported products and repeat the process if necessary.","La sesión caducó durante la exportación. Controle los productos exportados y repita el proceso si es necesario."
"Synchronize","Sincronizar"
"Target Country","País de destino"
"The item type has been saved.","Se guardó el tipo de artículo"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualizará las estadísticas de los artículos y eliminará los que no estén disponibles en Google Merchant Center. ¿Desea continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Se eliminó un total de %d artículos y se actualizó un total de %d artículos."
"Total of %d items(s) have been published.","Se publicó un total de %d artículos."
"Total of %d items(s) have been removed from Google Base.","Se eliminó un total de %d artículos de Google Merchant Center."
"Total of %d items(s) have been saved as inactive items.","Se guardó un total de %d artículos como artículos inactivos."
"Total of %d product(s) have been added to Google Base.","Se agregó un total de %d artículos a Google Merchant Center."
"Unable to connect to Google Base. Please, check Account settings in configuration.","No se puede establecer conexión con Google Merchant Center. Por favor, controle la configuración de su cuenta en el área correspondiente."
"Unable to select a Store View.","No se puede seleccionar una vista de tienda."
"View Available Products","Ver productos disponibles"
"View Item in Google Base","Ver artículo en Google Merchant Center"
"Yes","Sí"
