"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Resultados por página"
"%s-%s of %s","%s-%s de %s"
"###","Catalog Module"
"Filter","Filtro"
"View Details","Ver detalles"
"Share on Facebook","Compartir en Facebook"
"Share on Twitter","Compartir en Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","¿Seguro que quieres salir de esta página? Usted tendrá que seguir los pasos de comprobación de nuevo."
"Zip/Postal Code","Código postal"
"Discount Codes?","Códigos de descuento?"
"###","Customer Module"
"Registration is free and easy!","El registro es gratis y fácil!"
"Faster checkout","Comprar más rápidamente"
"Save multiple shipping addresses","Guardar múltiples direcciones de envío"
"View and track orders and more","Ver y seguimiento de pedidos y más"
"###","Shipment Module"
"Item in your order","Artículo en Su pedido"
"Items in your order","Artículos en Su pedido"
