"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s ha sido añadido a su lista de deseos. Clic <a href=""%2$s"">aquí</a>, para continuar comprando."
"%1$s has been updated in your wishlist.","Se ha actualizado %1$s en su lista de la compra."
"%d product(s) have been added to shopping cart: %s.","%d artículo(s) se ha(n) añadido a la cesta de la compra: %s."
"%s for ""%s"".","%s por ""%s""."
"%s has been moved to wishlist %s","%s se ha movido a la lista de favoritos %s"
"%s was added to your shopping cart.","%s ha sido añadido a su carrito de compras."
"%s's Wishlist","%s's lista"
"* Required Fields","* Campos requeridos"
"Add All to Cart","Añadir todo al carrito"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a lista de deseos"
"Added From","Añadir desde"
"An error occurred while adding item to wishlist.","Se ha producido un error al añadir el artículo a la lista."
"An error occurred while adding item to wishlist: %s","Se ha producido un error al añadir el artículo a la lista: %s"
"An error occurred while deleting the item from wishlist.","Se ha producido un error al cancelar el artículo de la lista."
"An error occurred while deleting the item from wishlist: %s","Se ha producido un error al cancelar el artículo de la lista: %s"
"An error occurred while updating wishlist.","Ocurrió un error mientras se actualizaba la lista de la compra."
"Are you sure you want to remove this product from your wishlist?","¿Está seguro que desea retirar este artículo de su lista de deseos?"
"Are you sure you would like to remove this item from the wishlist?","¿Está seguro de querer eliminar este artículo de su lista?"
"Back","Atrás"
"Can\'t delete item from wishlist","No se puede eliminar el artículo de la lista de la compra"
"Can\'t save description %s","Imposible guardar la descripción %s"
"Can\'t update wishlist","Imposible actualizar la lista de favoritos"
"Cannot add item to shopping cart","No se puede añadir el artículo al carrito de compra."
"Cannot add the following product(s) to shopping cart: %s.","No se pueden añadir el (los) siguiente(s) artículo(s) al carrito de compras: %s."
"Cannot add the item to shopping cart.","Imposible añadir el artículo al carrito de compras."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Imposible añadir el artículo seleccionado al carrito de compras, porque el artículo ha sido eliminado de la lista de deseos."
"Cannot configure product","No se puede configurar el artículo."
"Cannot load wishlist item","No se puede cargar el artículo de la lista de la compra."
"Cannot move item to wishlist","No se puede mover el artículo a la lista de favoritos."
"Cannot specify product.","No se pudo especificar artículo."
"Cannot specify wishlist item.","No se puede especificar el artículo de la lista de la compra."
"Cannot specify wishlist.","Imposible especificar la lista."
"Cannot update wishlist","Imposible actualizar la lista."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si desea añadir a su lista un enlace a una fuente RSS."
"Click for price","Clic para precio"
"Comment","Comentario"
"Comment:","Comentarios:"
"Configure Wishlist Item","Configurar artículo de la lista de la compra"
"Configured Price:","Precio configurado:"
"Could not find such wishlist","No se pudo encontrar tal lista de favoritos"
"Could not find wishlist","No se pudo encontrar la lista de favoritos"
"Customer My Account My Wishlist","Cliente Mi cuenta Mis favoritos"
"Customer My Account Wishlist Sharing Form","Cliente Mi cuenta Formulario para compartir favoritos"
"Customer Shared Wishlist View","Cliente Vista de favoritos compartidos"
"Date Added","Fecha de subida"
"Days in Wishlist","Días en la lista de favoritos"
"Display Wishlist Summary","Mostrar resumen de la lista de favoritos"
"Edit","Editar"
"Email Sender","Remitente del email"
"Email Template","Plantilla de email"
"Email address can\'t be empty.","El campo dirección de correo electrónico no puede estar vacío."
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Enabled","Habilitado"
"General Options","Opciones generales"
"Go to Wishlist","Ir a favoritos"
"Helper for wishlist options rendering doesn't implement required interface.","El asistente para el renderizado de las opciones de la lista de la compra no implementa la interfaz necesaria."
